ime,vrsta
Grad Socerb,vrh
Grad Socerb,koča
Grad Socerb,cerkev
Fajti hrib,vrh
Fajti hrib,vrh
Sveti Gregor na Dobravici,cerkev
Sveti Gregor na Dobravici,cerkev
Črnokalska Varda,vrh
Črnokalska Varda,vrh
Ostri Vrh nad Vipavsko dolino,vrh
Ostri Vrh nad Vipavsko dolino,vrh
Jama Vilenica,vrh
Jama Vilenica,vrh
Iški Vintgar (Vrbica),vrh
Iški Vintgar (Vrbica),vrh
Žalostna gora pri Preserju,vrh
Žalostna gora pri Preserju,cerkev
Žalostna gora pri Preserju,vrh
Žalostna gora pri Preserju,cerkev
Krog,vrh
Krog,vrh
Vrh križa,vrh
Vrh križa,vrh
Sveti Rupert nad Drago,vrh
Sveti Rupert nad Drago,cerkev
Sveti Rupert nad Drago,vrh
Sveti Rupert nad Drago,cerkev
Sveti Kvirik,vrh
Sveti Kvirik,cerkev
Sveti Kvirik,vrh
Sveti Kvirik,cerkev
Grad Kostel,vrh
Grad Kostel,vrh
Sveti Pavel (nad Ročinjem),vrh
Sveti Pavel (nad Ročinjem),cerkev
Sveti Pavel (nad Ročinjem),vrh
Sveti Pavel (nad Ročinjem),cerkev
Izvir Nežice,slap
Izvir Nežice,slap
Prižnica,vrh
Prižnica,vrh
Tinjan,vrh
Tinjan,cerkev
Tinjan,vrh
Tinjan,cerkev
Udornica Risnik,cerkev
Udornica Risnik,cerkev
Sveti Duh (Pedrovo),cerkev
Sveti Duh (Pedrovo),cerkev
Pomjan,vrh
Pomjan,cerkev
Pomjan,vrh
Pomjan,cerkev
Dom v Iškem Vintgarju,slap
Dom v Iškem Vintgarju,koča
Dom v Iškem Vintgarju,jezero
Dom v Iškem Vintgarju,slap
Dom v Iškem Vintgarju,koča
Dom v Iškem Vintgarju,jezero
Orlovo gnezdo (Veli Badin),vrh
Orlovo gnezdo (Veli Badin),vrh
Divje jezero,jezero
Divje jezero,jezero
Veliko Cerje,vrh
Veliko Cerje,vrh
Sveti Lovrenc (Jezero),vrh
Sveti Lovrenc (Jezero),cerkev
Sveti Lovrenc (Jezero),vrh
Sveti Lovrenc (Jezero),cerkev
Sveti Kvirin na Paljevem,cerkev
Sveti Kvirin na Paljevem,cerkev
Dolina reke Glinščice / Val Rosandra,cerkev
Dolina reke Glinščice / Val Rosandra,cerkev
Dolina Drage,jezero
Dolina Drage,jezero
Izvir Ljubljanice (Retovje),jezero
Izvir Ljubljanice (Retovje),jezero
Izvir Ljubljanice (Močilnik),koča
Izvir Ljubljanice (Močilnik),cerkev
Izvir Ljubljanice (Močilnik),koča
Izvir Ljubljanice (Močilnik),cerkev
Lopar,vrh
Lopar,cerkev
Lopar,vrh
Lopar,cerkev
Jama Pečinka,cerkev
Jama Pečinka,cerkev
Iški morost,cerkev
Iški morost,cerkev
Marezige,vrh
Marezige,koča
Marezige,cerkev
Marezige,vrh
Marezige,koča
Marezige,cerkev
Orleška draga,cerkev
Orleška draga,cerkev
Sveti Peter (Nad Ajbo),vrh
Sveti Peter (Nad Ajbo),cerkev
Sveti Peter (Nad Ajbo),vrh
Sveti Peter (Nad Ajbo),cerkev
Sveti Duh (Sveti Peter),vrh
Sveti Duh (Sveti Peter),cerkev
Sveti Duh (Sveti Peter),vrh
Sveti Duh (Sveti Peter),cerkev
Sveti Štefan (Zanigrad),cerkev
Sveti Štefan (Zanigrad),cerkev
Stari grad Vipava,vrh
Stari grad Vipava,vrh
Lovsko zavetišče Kolombar,koča
Lovsko zavetišče Kolombar,koča
Goli hrib,vrh
Goli hrib,vrh
Kamno čelo (Mandrija),vrh
Kamno čelo (Mandrija),koča
Kamno čelo (Mandrija),vrh
Kamno čelo (Mandrija),koča
Črni vrh (Iskra),vrh
Črni vrh (Iskra),vrh
Jurjev hrib,vrh
Jurjev hrib,vrh
Slap potoka Struga,slap
Slap potoka Struga,slap
Vanganelsko jezero,jezero
Vanganelsko jezero,jezero
Strunjanski križ,vrh
Strunjanski križ,vrh
Debeli rtič,vrh
Debeli rtič,vrh
Ankaran,vrh
Ankaran,vrh
Strunjanske soline,vrh
Strunjanske soline,vrh
Triglav,vrh
Triglav,bivak
Triglav,vrh
Triglav,bivak
Montaž / Jôf di Montasio,vrh
Montaž / Jôf di Montasio,vrh
Škrlatica,vrh
Škrlatica,vrh
Mali Triglav,vrh
Mali Triglav,vrh
Mangart,vrh
Mangart,vrh
Viš/Jof Fuart,vrh
Viš/Jof Fuart,vrh
Vrh Brda / Cima Verde,vrh
Vrh Brda / Cima Verde,vrh
Visoki Rokav,vrh
Visoki Rokav,vrh
Jalovec,vrh
Jalovec,vrh
Veliki Oltar,vrh
Veliki Oltar,vrh
Velika Martuljška Ponca,vrh
Velika Martuljška Ponca,vrh
Razor,vrh
Razor,vrh
Dolkova špica,vrh
Dolkova špica,vrh
Visoki Kanin,vrh
Visoki Kanin,vrh
Mali Kanin,vrh
Mali Kanin,vrh
Kanjavec (Zahodni vrh),vrh
Kanjavec (Zahodni vrh),vrh
Kanjavec,vrh
Kanjavec,vrh
Glava v Zaplanji,vrh
Glava v Zaplanji,vrh
Rogljica,vrh
Rogljica,vrh
Prisank / Prisojnik,vrh
Prisank / Prisojnik,vrh
Rakova Špica,vrh
Rakova Špica,vrh
Dovški križ,vrh
Dovški križ,vrh
Kredarica,vrh
Kredarica,vrh
Rž,vrh
Rž,vrh
Rjavina,vrh
Rjavina,vrh
Špik nad Nosom / Foronon del Buinz,vrh
Špik nad Nosom / Foronon del Buinz,bivak
Špik nad Nosom / Foronon del Buinz,vrh
Špik nad Nosom / Foronon del Buinz,bivak
Triglavska vojašnica Viktorja Emanuela III,bivak
Triglavska vojašnica Viktorja Emanuela III,bivak
Triglavski dom na Kredarici,vrh
Triglavski dom na Kredarici,koča
Triglavski dom na Kredarici,cerkev
Triglavski dom na Kredarici,vrh
Triglavski dom na Kredarici,koča
Triglavski dom na Kredarici,cerkev
Koštrunove špice,vrh
Koštrunove špice,vrh
Mala Martuljška Ponca,vrh
Mala Martuljška Ponca,vrh
Stenar,vrh
Stenar,vrh
Spodnji Rokav,vrh
Spodnji Rokav,vrh
Prestreljenik,vrh
Prestreljenik,vrh
Široka peč,vrh
Široka peč,vrh
Poprovec,vrh
Poprovec,vrh
Teme (Hribarice),vrh
Teme (Hribarice),vrh
Veliki Ozebnik,vrh
Veliki Ozebnik,vrh
Špik,vrh
Špik,vrh
Mišeljski Konec,vrh
Mišeljski Konec,vrh
Begunjski vrh,vrh
Begunjski vrh,vrh
Planja,vrh
Planja,vrh
Vrh Laške Planje,vrh
Vrh Laške Planje,vrh
Vršaki (Vzhodni vrh),vrh
Vršaki (Vzhodni vrh),vrh
Vrh Krnice,vrh
Vrh Krnice,vrh
Vršaki (Južni vrh),vrh
Vršaki (Južni vrh),vrh
Bivak Suringar,bivak
Bivak Suringar,bivak
Kukova špica,vrh
Kukova špica,vrh
Vršaki (Srednji vrh),vrh
Vršaki (Srednji vrh),vrh
Vršaki (Vrh za Koritami),vrh
Vršaki (Vrh za Koritami),vrh
Špik Hude police / Cima di Terrarossa,vrh
Špik Hude police / Cima di Terrarossa,vrh
Pihavec,vrh
Pihavec,vrh
Špik nad Planjo / Punta Plagnis,vrh
Špik nad Planjo / Punta Plagnis,vrh
Križ,vrh
Križ,vrh
Visoka Vrbanova špica,vrh
Visoka Vrbanova špica,vrh
Lopa,vrh
Lopa,vrh
Gubno,vrh
Gubno,vrh
Dom Planika pod Triglavom,koča
Dom Planika pod Triglavom,koča
Veliko Špičje,vrh
Veliko Špičje,vrh
Cmir,vrh
Cmir,vrh
Bovški Gamsovec,vrh
Bovški Gamsovec,vrh
Prestreljeniško okno,vrh
Prestreljeniško okno,vrh
Debeli vrh,vrh
Debeli vrh,vrh
Vrh Hribaric,vrh
Vrh Hribaric,vrh
Šplevta (Indijanec),vrh
Šplevta (Indijanec),vrh
Strma peč / Monte Cimone,vrh
Strma peč / Monte Cimone,vrh
Travnik (pri Mojstrovkah),vrh
Travnik (pri Mojstrovkah),vrh
Kucelj (Julijske Alpe),vrh
Kucelj (Julijske Alpe),vrh
Vrh Osojnic,vrh
Vrh Osojnic,vrh
Kriški rob,vrh
Kriški rob,vrh
Velika Mojstrovka,vrh
Velika Mojstrovka,vrh
Šmarjetna glava,vrh
Šmarjetna glava,vrh
Spodnji Stenar,vrh
Spodnji Stenar,vrh
Zadnja Mojstrovka,vrh
Zadnja Mojstrovka,vrh
Vrh Krnega dola / Monte Cregnedul,vrh
Vrh Krnega dola / Monte Cregnedul,vrh
Kol,vrh
Kol,vrh
Mišelj vrh,vrh
Mišelj vrh,vrh
Plaski Vogel,vrh
Plaski Vogel,vrh
Bavški Grintavec,vrh
Bavški Grintavec,vrh
Briceljk,vrh
Briceljk,vrh
Vevnica,vrh
Vevnica,vrh
Vrh Snežne konte,vrh
Vrh Snežne konte,vrh
Velika Črnelska špica,vrh
Velika Črnelska špica,vrh
Mala Mojstrovka,vrh
Mala Mojstrovka,vrh
Dom Valentina Staniča pod Triglavom,koča
Dom Valentina Staniča pod Triglavom,bivak
Dom Valentina Staniča pod Triglavom,koča
Dom Valentina Staniča pod Triglavom,bivak
Zadnji Vogel,vrh
Zadnji Vogel,vrh
Mali Ozebnik,vrh
Mali Ozebnik,vrh
Žrd / Sart,vrh
Žrd / Sart,vrh
Velika Zelnarica,vrh
Velika Zelnarica,vrh
Veliki Nabojs / Monte Nabois grande,vrh
Veliki Nabojs / Monte Nabois grande,vrh
Malo Špičje,vrh
Malo Špičje,vrh
Mala Zelnarica,vrh
Mala Zelnarica,vrh
Škednjovec,vrh
Škednjovec,vrh
Spodnja Vrbanova špica,vrh
Spodnja Vrbanova špica,vrh
Konjc,vrh
Konjc,vrh
Frdamane police,vrh
Frdamane police,vrh
Tosc,vrh
Tosc,vrh
Visoka Ponca,vrh
Visoka Ponca,vrh
Šplevta,vrh
Šplevta,vrh
Strug,vrh
Strug,vrh
Dom Petra Skalarja na Kaninu,koča
Dom Petra Skalarja na Kaninu,koča
Visoka Bela Špica / Cima Alta di Riobianco,vrh
Visoka Bela Špica / Cima Alta di Riobianco,bivak
Visoka Bela Špica / Cima Alta di Riobianco,vrh
Visoka Bela Špica / Cima Alta di Riobianco,bivak
Travnik,vrh
Travnik,vrh
Krn,vrh
Krn,vrh
Veliki Draški vrh,vrh
Veliki Draški vrh,vrh
Zadnja Ponca,vrh
Zadnja Ponca,vrh
Vrh Grubje,vrh
Vrh Grubje,vrh
Srednja Ponca,vrh
Srednja Ponca,vrh
Čelo,vrh
Čelo,vrh
Srednji Vogel,vrh
Srednji Vogel,vrh
Vernar,vrh
Vernar,vrh
Rombon,vrh
Rombon,vrh
Vodnikov Vršac (Vršac nad Zadnjico),vrh
Vodnikov Vršac (Vršac nad Zadnjico),vrh
